SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
R0228,2026-04-08,Återkommande kund,35–44,Annanstans i Finland,E-post,Fakturering eller betalning,Fakturering och betalning,1,2.7,Ja,Ja,3,4,4,8,9,256.57,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0229,2026-03-19,Återkommande kund,25–34,Annanstans i Finland,E-post,Klagomål eller uppföljning,Teknisk support,49,13,Nej,Nej,3,4,2,4,3,48.97,Ja,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0230,2026-02-28,Återkommande kund,25–34,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,9,2.8,Ja,Nej,4,2,5,7,8,19.8,Nej,Det var inget fel på personalen. Problemet var att webbplatsen inte gav mig den information jag behövde.
R0231,2026-04-04,Företagskund,35–44,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,4,0.4,Ja,Ja,3,2,5,8,7,235.77,Nej,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0232,2026-03-08,Ny kund,45–54,Lokalt område,Webbformulär,Retur eller avbokning,Order och leverans,11,1.3,Ja,Nej,,2,4,7,6,246.72,Nej,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0233,2026-03-08,Återkommande kund,55–64,Annan del av regionen,Chatt,Leverans- eller orderstatus,Order och leverans,1,1.3,Ja,Nej,,2,4,9,8,262.7,Nej,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0234,2026-02-03,Ny kund,18–24,Lokalt område,Chatt,Produkt- eller tjänsteinformation,Kundinformation,11,1.1,Ja,Ja,,4,4,9,10,58.46,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0235,2026-01-20,Ny kund,45–54,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,29,2.3,Ja,Ja,4,3,4,9,8,50.48,Nej,
R0236,2026-02-18,Företagskund,55–64,Annan del av regionen,E-post,Produkt- eller tjänsteinformation,Kundinformation,7,8.4,Nej,Ja,4,5,5,8,8,230.04,Nej,
R0237,2026-06-17,Ny kund,55–64,Lokalt område,Webbformulär,Klagomål eller uppföljning,Fakturering och betalning,5,1.1,Ja,Ja,,4,3,8,8,397.86,Nej,"Personalen var vänlig, även om fakturans utformning kunde vara tydligare."
R0238,2026-01-18,Ny kund,18–24,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,16,18.4,Nej,Nej,,2,5,6,6,169.65,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0239,2026-01-24,Återkommande kund,25–34,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,14,1.5,Ja,Ja,4,4,4,7,7,27.19,Nej,Betalningsproblemet löstes vid den första kontakten.
R0240,2026-05-21,Ny kund,18–24,Lokalt område,Webbformulär,Fakturering eller betalning,Fakturering och betalning,13,3.2,Nej,Ja,,3,4,8,8,5.94,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0241,2026-03-23,Ny kund,45–54,Annan del av regionen,På plats,Retur eller avbokning,Kundinformation,11,0.7,Ja,Nej,,4,5,10,10,72.52,Nej,Den äldre kvinnan som svarade i telefon var ovanligt vänlig och förklarade bokningsprocessen i lugn takt.
R0242,2026-03-24,Återkommande kund,25–34,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,4,4.3,Nej,Nej,,2,4,5,6,218.02,Ja,Jag gick runt i cirklar på webbplatsen när jag letade efter leveransinformation. Personen i kundservicen var däremot bra.
R0243,2026-06-12,Återkommande kund,45–54,Lokalt område,E-post,Produkt- eller tjänsteinformation,Kundinformation,13,0.8,Ja,Nej,3,5,5,10,9,20.36,Nej,
R0244,2026-06-09,Ny kund,25–34,Annan del av regionen,Chatt,Teknisk support,Teknisk support,14,3.2,Ja,Ja,,3,3,5,6,172.28,Nej,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0245,2026-06-08,Återkommande kund,35–44,Lokalt område,Telefon,Köp eller bokning,Order och leverans,11,1.6,Ja,Ja,,2,3,8,6,71.61,Nej,"Beställningen kom som utlovat, men jag skulle vilja få tydligare uppdateringar under leveransen."
R0246,2026-01-11,Återkommande kund,25–34,Lokalt område,På plats,Produkt- eller tjänsteinformation,Kundinformation,4,0.3,Ja,Ja,,4,5,10,10,142.53,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0247,2026-06-19,Ny kund,65+,Lokalt område,Chatt,Installation eller konfigurering,Teknisk support,10,1.1,Ja,Ja,,5,4,7,7,57,Nej,"Det tekniska svaret var kort men korrekt, och jag behövde ingen uppföljning."
R0248,2026-02-25,Återkommande kund,18–24,Annanstans i Finland,Telefon,Retur eller avbokning,Kundinformation,13,1.6,Ja,Ja,,5,5,10,9,51.84,Nej,Den äldre kvinnan som svarade i telefon var ovanligt vänlig och förklarade bokningsprocessen i lugn takt.
R0249,2026-05-27,Återkommande kund,35–44,Annan del av regionen,Telefon,Installation eller konfigurering,Teknisk support,14,9.7,Nej,Ja,,4,3,5,6,179.95,Ja,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0250,2026-06-19,Återkommande kund,18–24,Annan del av regionen,Chatt,Teknisk support,Teknisk support,28,24,Nej,Ja,,4,3,5,5,17.53,Ja,
R0251,2026-02-28,Företagskund,25–34,Lokalt område,Telefon,Leverans- eller orderstatus,Order och leverans,6,1.8,Ja,Nej,,1,3,6,3,65.34,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0252,2026-05-05,Ny kund,55–64,Lokalt område,Webbformulär,Retur eller avbokning,Kundinformation,4,1.2,Ja,Ja,,4,4,10,10,37.31,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0253,2026-01-29,Återkommande kund,25–34,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,21,1.3,Ja,Nej,,2,4,8,7,63.7,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0254,2026-06-03,Företagskund,18–24,Annanstans i Finland,Chatt,Köp eller bokning,Order och leverans,12,2.2,Ja,Nej,,2,3,6,6,1220.53,Nej,"Jag sökte efter spårningsinformation på webbplatsen men hittade den inte, så jag var tvungen att använda webbformuläret."
R0255,2026-06-12,Återkommande kund,45–54,Lokalt område,Webbformulär,Köp eller bokning,Order och leverans,24,1.7,Ja,Nej,,1,4,8,6,105.87,Nej,"Jag sökte efter spårningsinformation på webbplatsen men hittade den inte, så jag var tvungen att använda webbformuläret."
R0256,2026-04-17,Ny kund,45–54,Annanstans i Finland,Telefon,Fakturering eller betalning,Fakturering och betalning,4,5.8,Nej,Ja,,4,4,6,8,232.93,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0257,2026-02-12,Ny kund,35–44,Lokalt område,E-post,Installation eller konfigurering,Teknisk support,24,10.3,Nej,Ja,3,4,2,6,5,294.05,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0258,2026-04-18,Återkommande kund,25–34,Lokalt område,E-post,Leverans- eller orderstatus,Order och leverans,36,2.8,Ja,Nej,3,3,3,8,8,34.08,Nej,"Personalen var hjälpsam, men jag borde ha kunnat hitta leveransstatusen på webbplatsen."
R0259,2026-03-29,Återkommande kund,25–34,Annan del av regionen,E-post,Köp eller bokning,Kundinformation,17,1.2,Ja,Nej,4,4,5,10,8,90.25,Nej,
R0260,2026-06-15,Återkommande kund,55–64,Annan del av regionen,Chatt,Retur eller avbokning,Order och leverans,31,0.5,Ja,Nej,,2,5,7,7,15.01,Nej,
R0261,2026-04-02,Ny kund,25–34,Annan del av regionen,Chatt,Produkt- eller tjänsteinformation,Kundinformation,1,0.5,Ja,Nej,,4,5,9,10,151.07,Ja,Den äldre damen var antagligen den mest hjälpsamma person jag har talat med på företaget.
R0262,2026-05-07,Återkommande kund,55–64,Lokalt område,E-post,Köp eller bokning,Order och leverans,26,1.3,Ja,Ja,4,2,5,8,9,171.89,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0263,2026-02-26,Företagskund,25–34,Lokalt område,Chatt,Fakturering eller betalning,Fakturering och betalning,93,1.1,Ja,Nej,,3,3,8,6,236.91,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0264,2026-06-25,Återkommande kund,25–34,Annanstans i Finland,Chatt,Teknisk support,Teknisk support,30,7.8,Nej,Ja,,4,3,4,4,84.43,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0265,2026-04-18,Ny kund,18–24,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,10,1.4,Ja,Ja,4,4,5,8,8,27.81,Ja,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0266,2026-03-02,Återkommande kund,25–34,Lokalt område,Webbformulär,Retur eller avbokning,Order och leverans,13,1.5,Ja,Nej,,2,3,6,6,67.78,Nej,
R0267,2026-01-13,Ny kund,55–64,Annan del av regionen,E-post,Teknisk support,Teknisk support,29,3.7,Ja,Ja,3,4,3,6,4,139.72,Ja,Problemet verkar vara löst nu. Jag skulle ha uppskattat en lite tydligare förklaring.
R0268,2026-05-05,Återkommande kund,25–34,Lokalt område,Webbformulär,Produkt- eller tjänsteinformation,Kundinformation,11,1,Ja,Ja,,4,5,9,8,12.51,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0269,2026-06-12,Återkommande kund,18–24,Lokalt område,E-post,Produkt- eller tjänsteinformation,Kundinformation,21,0.6,Ja,Ja,4,5,5,10,7,95.46,Nej,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0270,2026-05-13,Ny kund,45–54,Annan del av regionen,Telefon,Retur eller avbokning,Order och leverans,18,1.2,Ja,Ja,,2,5,6,8,59.62,Nej,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0271,2026-05-09,Återkommande kund,25–34,Lokalt område,På plats,Köp eller bokning,Order och leverans,14,0.9,Ja,Ja,,2,4,9,9,38.76,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0272,2026-05-17,Återkommande kund,55–64,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,38,10.7,Nej,Nej,,1,5,8,6,57.58,Ja,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0273,2026-02-27,Återkommande kund,55–64,Annanstans i Finland,Telefon,Installation eller konfigurering,Teknisk support,20,3.6,Ja,Ja,,4,3,5,5,58.76,Ja,"Det tekniska problemet var verkligt, men svaret kändes avfärdande snarare än hjälpsamt."
R0274,2026-02-15,Återkommande kund,25–34,Annan del av regionen,Telefon,Leverans- eller orderstatus,Order och leverans,1,1.8,Ja,Nej,,1,3,7,7,340.64,Nej,"Sidorna om returer och leveranser var svåra att navigera, så jag kontaktade kundservicen i stället."
R0275,2026-01-10,Ny kund,25–34,Lokalt område,På plats,Fakturering eller betalning,Fakturering och betalning,43,2.1,Ja,Ja,,4,5,10,8,442.59,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0276,2026-02-22,Ny kund,65+,Lokalt område,Telefon,Köp eller bokning,Kundinformation,3,0.7,Ja,Ja,,3,4,9,7,78.15,Ja,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0277,2026-05-30,Ny kund,18–24,Annanstans i Finland,E-post,Fakturering eller betalning,Fakturering och betalning,9,3.8,Ja,Ja,3,4,4,10,8,145.89,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0278,2026-05-15,Återkommande kund,45–54,Annanstans i Finland,Webbformulär,Leverans- eller orderstatus,Order och leverans,32,2.2,Ja,Nej,,1,4,6,5,32.4,Nej,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0279,2026-01-26,Företagskund,35–44,Lokalt område,Chatt,Retur eller avbokning,Order och leverans,24,1.9,Ja,Nej,,3,5,8,7,110.41,Nej,Min fråga om beställningen löstes snabbt och personalen var hjälpsam.
R0280,2026-02-22,Återkommande kund,35–44,Lokalt område,E-post,Klagomål eller uppföljning,Fakturering och betalning,59,5.3,Nej,Ja,2,4,3,6,8,36.26,Ja,
R0281,2026-03-18,Företagskund,35–44,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,12,10.7,Nej,Nej,,2,5,5,6,205.09,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
R0282,2026-01-16,Ny kund,25–34,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,11,7.5,Nej,Nej,,2,4,6,6,162.6,Ja,"Personalen var hjälpsam, men jag borde ha kunnat hitta leveransstatusen på webbplatsen."
R0283,2026-06-21,Återkommande kund,45–54,Lokalt område,På plats,Leverans- eller orderstatus,Order och leverans,22,0.8,Ja,Nej,,3,4,5,6,31.97,Nej,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0284,2026-06-15,Företagskund,25–34,Annanstans i Finland,E-post,Installation eller konfigurering,Teknisk support,23,3.4,Ja,Nej,4,3,3,6,5,354.7,Ja,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0285,2026-03-25,Återkommande kund,25–34,Annan del av regionen,Chatt,Installation eller konfigurering,Teknisk support,12,13,Nej,Nej,,3,3,4,4,53.18,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0286,2026-05-20,Ny kund,35–44,Annan del av regionen,Telefon,Teknisk support,Teknisk support,20,7.1,Ja,Nej,,3,3,6,7,27.68,Nej,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0287,2026-06-26,Ny kund,25–34,Annan del av regionen,E-post,Fakturering eller betalning,Fakturering och betalning,15,2.4,Ja,Ja,4,4,5,9,10,167.16,Ja,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0288,2026-02-19,Återkommande kund,35–44,Lokalt område,Webbformulär,Teknisk support,Teknisk support,32,2.6,Ja,Ja,,4,3,4,4,111.31,Nej,"Det första tekniska svaret berättade vad jag skulle prova, men inte hur jag skulle göra det. Jag behövde kontakta företaget igen."
R0289,2026-03-20,Återkommande kund,35–44,Annan del av regionen,Chatt,Teknisk support,Teknisk support,23,1.8,Ja,Nej,,3,3,5,6,48.8,Nej,Jag var tvungen att förklara samma tekniska problem två gånger innan jag fick ett användbart svar.
R0290,2026-05-01,Ny kund,45–54,Lokalt område,Webbformulär,Produkt- eller tjänsteinformation,Kundinformation,1,3.6,Nej,Ja,,4,5,9,10,24.67,Nej,Vänlig service och en tydlig förklaring av vad jag behövde göra härnäst.
R0291,2026-05-28,Företagskund,45–54,Annanstans i Finland,På plats,Klagomål eller uppföljning,Kundinformation,6,0.5,Ja,Ja,,5,5,10,9,202.41,Nej,Jag hittade det mesta av informationen själv och kundservicen bekräftade den sista detaljen.
R0292,2026-04-25,Ny kund,18–24,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,21,8.1,Nej,Ja,,4,3,6,5,15.39,Ja,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0293,2026-01-14,Återkommande kund,55–64,Lokalt område,Telefon,Teknisk support,Teknisk support,23,2.8,Ja,Nej,,4,1,5,5,14.08,Nej,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0294,2026-06-15,Återkommande kund,25–34,Lokalt område,Telefon,Klagomål eller uppföljning,Fakturering och betalning,28,2.2,Ja,Ja,,3,3,8,7,50.61,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0295,2026-05-09,Återkommande kund,45–54,Lokalt område,Telefon,Installation eller konfigurering,Teknisk support,9,1.6,Ja,Ja,,4,3,7,8,20.87,Nej,"Det första tekniska svaret berättade vad jag skulle prova, men inte hur jag skulle göra det. Jag behövde kontakta företaget igen."
R0296,2026-04-16,Återkommande kund,35–44,Lokalt område,Webbformulär,Installation eller konfigurering,Teknisk support,21,8.6,Nej,Ja,,4,4,5,5,57.22,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0297,2026-05-13,Återkommande kund,55–64,Annanstans i Finland,Telefon,Leverans- eller orderstatus,Order och leverans,15,1.2,Ja,Ja,,2,5,7,7,73.49,Nej,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0298,2026-05-23,Ny kund,25–34,Lokalt område,Webbformulär,Fakturering eller betalning,Fakturering och betalning,28,9.6,Nej,Nej,,3,4,5,5,62.37,Nej,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0299,2026-01-31,Ny kund,25–34,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,14,1.7,Ja,Ja,,4,4,10,10,347.71,Nej,"Jag känner mig inte särskilt bekväm med digitala tjänster, men den äldre damen fick processen att kännas enkel."
R0300,2026-06-04,Ny kund,65+,Annan del av regionen,Telefon,Retur eller avbokning,Kundinformation,8,2.3,Ja,Nej,,4,5,9,8,298.64,Nej,Jag fick exakt den information jag behövde och behövde inte kontakta företaget igen.
R0301,2026-03-02,Återkommande kund,35–44,Lokalt område,E-post,Klagomål eller uppföljning,Fakturering och betalning,3,1.5,Ja,Nej,5,3,4,8,8,45.54,Nej,
R0302,2026-02-09,Återkommande kund,18–24,Annan del av regionen,E-post,Installation eller konfigurering,Teknisk support,14,15.9,Nej,Ja,2,4,3,3,5,143.72,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0303,2026-02-08,Ny kund,55–64,Lokalt område,Webbformulär,Teknisk support,Teknisk support,30,25.4,Nej,Ja,,4,3,4,3,518.65,Ja,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0304,2026-03-27,Ny kund,18–24,Lokalt område,E-post,Klagomål eller uppföljning,Teknisk support,17,2.8,Ja,Ja,5,3,2,5,5,164.29,Ja,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0305,2026-05-04,Återkommande kund,55–64,Lokalt område,Chatt,Köp eller bokning,Kundinformation,4,0.8,Ja,Ja,,4,4,9,9,285.38,Nej,Mycket hjälpsam kundinformation. Min fråga löstes vid den första kontakten.
R0306,2026-04-20,Återkommande kund,35–44,Lokalt område,Telefon,Fakturering eller betalning,Fakturering och betalning,12,3.7,Ja,Nej,,4,5,6,5,27.8,Nej,"Betalningsprocessen fungerade, men jag skulle önska ett snabbare svar på e-post."
R0307,2026-06-18,Återkommande kund,55–64,Lokalt område,E-post,Fakturering eller betalning,Fakturering och betalning,15,2.8,Ja,Ja,4,4,3,8,8,86.33,Nej,Faktureringsinformationen var ganska lätt att hitta och den sista frågan besvarades via e-post.
R0308,2026-04-25,Ny kund,65+,Annan del av regionen,Telefon,Köp eller bokning,Order och leverans,19,8.4,Nej,Nej,,2,3,7,6,144.27,Ja,"Sidorna om returer och leveranser var svåra att navigera, så jag kontaktade kundservicen i stället."
R0309,2026-02-11,Återkommande kund,55–64,Lokalt område,Chatt,Installation eller konfigurering,Teknisk support,27,5.7,Nej,Ja,,4,2,5,4,12.55,Nej,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0310,2026-02-08,Ny kund,55–64,Lokalt område,E-post,Klagomål eller uppföljning,Order och leverans,25,2.7,Ja,Ja,4,2,4,8,10,90.27,Nej,Jag behövde hjälp med en retur och personalen förklarade tydligt vad nästa steg var.
R0311,2026-03-20,Företagskund,18–24,Annan del av regionen,Telefon,Produkt- eller tjänsteinformation,Kundinformation,1,0.8,Ja,Nej,,4,5,9,9,281.63,Nej,Den äldre damen som hjälpte mig var otroligt tålmodig och förklarade varje steg tydligt.
R0312,2026-04-23,Ny kund,55–64,Lokalt område,På plats,Klagomål eller uppföljning,Order och leverans,24,7.6,Nej,Nej,,2,4,6,7,44.33,Ja,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0313,2026-05-03,Återkommande kund,55–64,Annanstans i Finland,På plats,Produkt- eller tjänsteinformation,Kundinformation,16,0.3,Ja,Nej,,4,5,7,7,64.64,Nej,Jag fick exakt den information jag behövde och behövde inte kontakta företaget igen.
R0314,2026-02-20,Ny kund,18–24,Lokalt område,Webbformulär,Teknisk support,Teknisk support,26,3.1,Ja,Ja,,4,2,6,5,28.15,Nej,Det kändes som om jag störde teknikern när jag ställde en följdfråga.
R0315,2026-05-26,Återkommande kund,55–64,Annan del av regionen,E-post,Leverans- eller orderstatus,Order och leverans,2,9.3,Nej,Nej,4,2,4,5,7,34.7,Ja,
R0316,2026-04-29,Ny kund,45–54,Annanstans i Finland,Telefon,Installation eller konfigurering,Teknisk support,31,3,Ja,Ja,,4,3,6,5,515.31,Nej,"De tekniska instruktionerna var begripliga, även om det tog en stund att lösa problemet."
R0317,2026-04-06,Ny kund,55–64,Lokalt område,E-post,Installation eller konfigurering,Teknisk support,1,9.5,Nej,Ja,2,4,3,6,5,73.16,Ja,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0318,2026-05-31,Återkommande kund,25–34,Annan del av regionen,Webbformulär,Teknisk support,Teknisk support,24,2.7,Ja,Ja,,4,2,6,6,109.81,Nej,Teknikerns svar var väldigt kort och jag visste fortfarande inte vad jag skulle göra.
R0319,2026-04-30,Företagskund,25–34,Lokalt område,Chatt,Köp eller bokning,Kundinformation,10,0.6,Ja,Nej,,3,5,9,10,273.93,Nej,Jag fick exakt den information jag behövde och behövde inte kontakta företaget igen.
R0320,2026-04-30,Återkommande kund,35–44,Annan del av regionen,E-post,Leverans- eller orderstatus,Order och leverans,18,0.6,Ja,Nej,4,2,5,7,8,239.29,Nej,
R0321,2026-05-06,Återkommande kund,65+,Annanstans i Finland,E-post,Klagomål eller uppföljning,Fakturering och betalning,22,5.8,Nej,Nej,3,4,4,7,9,60,Ja,"Jag behövde fråga om en extra avgift, men förklaringen var rimlig."
R0322,2026-05-14,Ny kund,25–34,Lokalt område,Chatt,Köp eller bokning,Kundinformation,2,0.8,Ja,Ja,,4,5,10,7,106.71,Nej,Jag hade flera frågor och den äldre damen besvarade allihop utan att få mig att känna mig stressad.
R0323,2026-05-02,Ny kund,45–54,Annan del av regionen,Telefon,Fakturering eller betalning,Fakturering och betalning,19,11.2,Nej,Ja,,4,4,7,6,15.47,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0324,2026-03-03,Återkommande kund,65+,Annanstans i Finland,Chatt,Köp eller bokning,Order och leverans,2,4.1,Ja,Nej,,2,4,7,8,305.58,Nej,Jag hittade inte var jag kunde kontrollera orderstatusen. Personalen var hjälpsam när jag till slut kontaktade företaget.
R0325,2026-06-01,Ny kund,65+,Annan del av regionen,På plats,Retur eller avbokning,Kundinformation,1,10,Nej,Ja,,4,5,9,9,83.98,Ja,
R0326,2026-02-10,Återkommande kund,25–34,Annanstans i Finland,E-post,Teknisk support,Teknisk support,39,2.1,Ja,Nej,3,4,4,5,4,53.12,Nej,"Jag fick snabbt ett svar, men det löste egentligen inte problemet."
R0327,2026-06-09,Återkommande kund,45–54,Annanstans i Finland,Chatt,Klagomål eller uppföljning,Order och leverans,14,6.4,Nej,Ja,,2,5,7,9,200.7,Ja,Kundservicen besvarade min fråga om leveransen. Processen fungerade överlag bra.
R0328,2026-01-13,Återkommande kund,25–34,Annan del av regionen,Chatt,Teknisk support,Teknisk support,8,18.6,Nej,Nej,,3,2,4,3,74.11,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0329,2026-03-05,Återkommande kund,35–44,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,2,11.8,Nej,Nej,,2,4,6,7,208.42,Nej,
R0330,2026-03-27,Återkommande kund,45–54,Lokalt område,Webbformulär,Leverans- eller orderstatus,Order och leverans,24,4.7,Ja,Nej,,2,4,5,6,120.3,Nej,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0331,2026-03-20,Företagskund,55–64,Annanstans i Finland,Chatt,Retur eller avbokning,Order och leverans,19,2.9,Ja,Nej,,2,3,8,7,67.98,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0332,2026-05-23,Ny kund,25–34,Lokalt område,Chatt,Fakturering eller betalning,Fakturering och betalning,4,7.2,Nej,Ja,,4,4,8,7,34.95,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0333,2026-06-11,Företagskund,35–44,Lokalt område,Webbformulär,Klagomål eller uppföljning,Order och leverans,1,1.1,Ja,Nej,,2,5,9,7,168.64,Nej,Jag hade en enkel fråga om min beställning som egentligen borde ha besvarats på webbplatsen.
R0334,2026-03-08,Återkommande kund,55–64,Lokalt område,Telefon,Retur eller avbokning,Order och leverans,24,3.3,Ja,Nej,,1,5,8,7,56.84,Nej,Jag hittade spårningssidan och kontaktade företaget bara för att bekräfta en detalj.
R0335,2026-02-15,Återkommande kund,18–24,Annanstans i Finland,Telefon,Fakturering eller betalning,Fakturering och betalning,13,1.4,Ja,Nej,,4,4,8,8,219.16,Nej,Jag fick ett tydligt svar på min fråga om faktureringen.
R0336,2026-04-27,Återkommande kund,55–64,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,19,3.2,Ja,Nej,,2,4,7,5,17.27,Ja,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0337,2026-03-25,Ny kund,65+,Lokalt område,På plats,Produkt- eller tjänsteinformation,Kundinformation,6,1.2,Ja,Ja,,4,4,9,7,371.84,Nej,Den äldre damen som hjälpte mig var otroligt tålmodig och förklarade varje steg tydligt.
R0338,2026-01-05,Ny kund,65+,Lokalt område,Telefon,Retur eller avbokning,Order och leverans,13,1,Ja,Nej,,2,5,6,7,34.65,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0339,2026-06-15,Återkommande kund,35–44,Annan del av regionen,Telefon,Teknisk support,Teknisk support,50,7.1,Nej,Nej,,4,2,4,4,312.67,Ja,Svaret lät otåligt och jag var tvungen att kontakta företaget igen innan problemet blev löst.
R0340,2026-05-07,Återkommande kund,35–44,Annan del av regionen,På plats,Köp eller bokning,Kundinformation,17,0.6,Ja,Ja,,4,5,8,8,97.83,Nej,Den äldre kvinnan som svarade i telefon var ovanligt vänlig och förklarade bokningsprocessen i lugn takt.
R0341,2026-02-24,Företagskund,55–64,Lokalt område,Telefon,Köp eller bokning,Kundinformation,100,3.1,Nej,Ja,,5,5,8,7,358.27,Ja,"Kvinnan som hjälpte mig tog extra tid för att förklara alternativen, och det uppskattade jag verkligen."
R0342,2026-01-11,Återkommande kund,65+,Lokalt område,På plats,Leverans- eller orderstatus,Order och leverans,6,1,Ja,Nej,,2,5,7,5,115.68,Nej,Jag kontaktade företaget endast eftersom jag inte kunde se på webben när min beställning skulle komma.
