ResponseID,Date,CustomerType,AgeGroup,Region,Channel,ContactReason,Department,WaitingTimeMinutes,ResolutionTimeHours,SolvedFirstContact,InformationEasyToFind,EmailResponseSpeedRating,WebsiteNavigationRating,StaffHelpfulnessRating,OverallSatisfaction,WouldRecommend,PurchaseOrServiceValueEUR,FollowUpNeeded,CustomerComment
R0292,2026-04-25,New customer,18–24,Local area,Phone,Billing or payment,Billing & Payments,21,8.1,No,Yes,,4,3,6,5,15.39,Yes,"The payment process worked, but I would prefer a faster email reply."
R0293,2026-01-14,Returning customer,55–64,Local area,Phone,Technical support,Technical Support,23,2.8,Yes,No,,4,1,5,5,14.08,No,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0294,2026-06-15,Returning customer,25–34,Local area,Phone,Complaint or follow-up,Billing & Payments,28,2.2,Yes,Yes,,3,3,8,7,50.61,No,"The payment process worked, but I would prefer a faster email reply."
R0295,2026-05-09,Returning customer,45–54,Local area,Phone,Installation or setup,Technical Support,9,1.6,Yes,Yes,,4,3,7,8,20.87,No,"The first technical reply told me what to try, but not how to do it. I needed another contact."
R0296,2026-04-16,Returning customer,35–44,Local area,Web form,Installation or setup,Technical Support,21,8.6,No,Yes,,4,4,5,5,57.22,Yes,The technician's answer was very short and I still did not know what to do.
R0297,2026-05-13,Returning customer,55–64,Elsewhere in Finland,Phone,Delivery or order status,Orders & Delivery,15,1.2,Yes,Yes,,2,5,7,7,73.49,No,Customer service answered my delivery question. The process was acceptable overall.
R0298,2026-05-23,New customer,25–34,Local area,Web form,Billing or payment,Billing & Payments,28,9.6,No,No,,3,4,5,5,62.37,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0299,2026-01-31,New customer,25–34,Other part of region,Phone,Product or service information,Customer Information,14,1.7,Yes,Yes,,4,4,10,10,347.71,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0300,2026-06-04,New customer,65+,Other part of region,Phone,Return or cancellation,Customer Information,8,2.3,Yes,No,,4,5,9,8,298.64,No,I got exactly the information I needed and did not have to contact the company again.
R0301,2026-03-02,Returning customer,35–44,Local area,Email,Complaint or follow-up,Billing & Payments,3,1.5,Yes,No,5,3,4,8,8,45.54,No,
R0302,2026-02-09,Returning customer,18–24,Other part of region,Email,Installation or setup,Technical Support,14,15.9,No,Yes,2,4,3,3,5,143.72,Yes,The technician's answer was very short and I still did not know what to do.
R0303,2026-02-08,New customer,55–64,Local area,Web form,Technical support,Technical Support,30,25.4,No,Yes,,4,3,4,3,518.65,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0304,2026-03-27,New customer,18–24,Local area,Email,Complaint or follow-up,Technical Support,17,2.8,Yes,Yes,5,3,2,5,5,164.29,Yes,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0305,2026-05-04,Returning customer,55–64,Local area,Chat,Purchase or booking,Customer Information,4,0.8,Yes,Yes,,4,4,9,9,285.38,No,Very helpful customer information. My question was solved during the first contact.
R0306,2026-04-20,Returning customer,35–44,Local area,Phone,Billing or payment,Billing & Payments,12,3.7,Yes,No,,4,5,6,5,27.8,No,"The payment process worked, but I would prefer a faster email reply."
R0307,2026-06-18,Returning customer,55–64,Local area,Email,Billing or payment,Billing & Payments,15,2.8,Yes,Yes,4,4,3,8,8,86.33,No,The billing information was easy enough to find and the final question was answered by email.
R0308,2026-04-25,New customer,65+,Other part of region,Phone,Purchase or booking,Orders & Delivery,19,8.4,No,No,,2,3,7,6,144.27,Yes,"The return and delivery pages were hard to navigate, so I contacted customer service instead."
R0309,2026-02-11,Returning customer,55–64,Local area,Chat,Installation or setup,Technical Support,27,5.7,No,Yes,,4,2,5,4,12.55,No,I felt as if I was bothering the technician when I asked a follow-up question.
R0310,2026-02-08,New customer,55–64,Local area,Email,Complaint or follow-up,Orders & Delivery,25,2.7,Yes,Yes,4,2,4,8,10,90.27,No,I needed help with a return and the employee explained the next step clearly.
R0311,2026-03-20,Business customer,18–24,Other part of region,Phone,Product or service information,Customer Information,1,0.8,Yes,No,,4,5,9,9,281.63,No,The older lady who helped me was incredibly patient and explained every step clearly.
R0312,2026-04-23,New customer,55–64,Local area,In person,Complaint or follow-up,Orders & Delivery,24,7.6,No,No,,2,4,6,7,44.33,Yes,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0313,2026-05-03,Returning customer,55–64,Elsewhere in Finland,In person,Product or service information,Customer Information,16,0.3,Yes,No,,4,5,7,7,64.64,No,I got exactly the information I needed and did not have to contact the company again.
R0314,2026-02-20,New customer,18–24,Local area,Web form,Technical support,Technical Support,26,3.1,Yes,Yes,,4,2,6,5,28.15,No,I felt as if I was bothering the technician when I asked a follow-up question.
R0315,2026-05-26,Returning customer,55–64,Other part of region,Email,Delivery or order status,Orders & Delivery,2,9.3,No,No,4,2,4,5,7,34.7,Yes,
R0316,2026-04-29,New customer,45–54,Elsewhere in Finland,Phone,Installation or setup,Technical Support,31,3.0,Yes,Yes,,4,3,6,5,515.31,No,"The technical instructions were understandable, although the resolution took a while."
R0317,2026-04-06,New customer,55–64,Local area,Email,Installation or setup,Technical Support,1,9.5,No,Yes,2,4,3,6,5,73.16,Yes,The technician's answer was very short and I still did not know what to do.
R0318,2026-05-31,Returning customer,25–34,Other part of region,Web form,Technical support,Technical Support,24,2.7,Yes,Yes,,4,2,6,6,109.81,No,The technician's answer was very short and I still did not know what to do.
R0319,2026-04-30,Business customer,25–34,Local area,Chat,Purchase or booking,Customer Information,10,0.6,Yes,No,,3,5,9,10,273.93,No,I got exactly the information I needed and did not have to contact the company again.
R0320,2026-04-30,Returning customer,35–44,Other part of region,Email,Delivery or order status,Orders & Delivery,18,0.6,Yes,No,4,2,5,7,8,239.29,No,
R0321,2026-05-06,Returning customer,65+,Elsewhere in Finland,Email,Complaint or follow-up,Billing & Payments,22,5.8,No,No,3,4,4,7,9,60.0,Yes,"I had to ask about an additional fee, but the explanation was reasonable."
R0322,2026-05-14,New customer,25–34,Local area,Chat,Purchase or booking,Customer Information,2,0.8,Yes,Yes,,4,5,10,7,106.71,No,I had several questions and the older lady answered every one without making me feel hurried.
R0323,2026-05-02,New customer,45–54,Other part of region,Phone,Billing or payment,Billing & Payments,19,11.2,No,Yes,,4,4,7,6,15.47,No,The invoice question was answered clearly and I understood the charge.
R0324,2026-03-03,Returning customer,65+,Elsewhere in Finland,Chat,Purchase or booking,Orders & Delivery,2,4.1,Yes,No,,2,4,7,8,305.58,No,I could not find where to check my order status. The staff member was helpful when I finally contacted the company.
R0325,2026-06-01,New customer,65+,Other part of region,In person,Return or cancellation,Customer Information,1,10.0,No,Yes,,4,5,9,9,83.98,Yes,
R0326,2026-02-10,Returning customer,25–34,Elsewhere in Finland,Email,Technical support,Technical Support,39,2.1,Yes,No,3,4,4,5,4,53.12,No,"I received an answer quickly, but it did not actually solve the problem."
R0327,2026-06-09,Returning customer,45–54,Elsewhere in Finland,Chat,Complaint or follow-up,Orders & Delivery,14,6.4,No,Yes,,2,5,7,9,200.7,Yes,Customer service answered my delivery question. The process was acceptable overall.
R0328,2026-01-13,Returning customer,25–34,Other part of region,Chat,Technical support,Technical Support,8,18.6,No,No,,3,2,4,3,74.11,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0329,2026-03-05,Returning customer,35–44,Local area,Web form,Delivery or order status,Orders & Delivery,2,11.8,No,No,,2,4,6,7,208.42,No,
R0330,2026-03-27,Returning customer,45–54,Local area,Web form,Delivery or order status,Orders & Delivery,24,4.7,Yes,No,,2,4,5,6,120.3,No,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0331,2026-03-20,Business customer,55–64,Elsewhere in Finland,Chat,Return or cancellation,Orders & Delivery,19,2.9,Yes,No,,2,3,8,7,67.98,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0332,2026-05-23,New customer,25–34,Local area,Chat,Billing or payment,Billing & Payments,4,7.2,No,Yes,,4,4,8,7,34.95,No,The invoice question was answered clearly and I understood the charge.
R0333,2026-06-11,Business customer,35–44,Local area,Web form,Complaint or follow-up,Orders & Delivery,1,1.1,Yes,No,,2,5,9,7,168.64,No,I had a simple question about my order that really should have been answered on the website.
R0334,2026-03-08,Returning customer,55–64,Local area,Phone,Return or cancellation,Orders & Delivery,24,3.3,Yes,No,,1,5,8,7,56.84,No,I found the tracking page and only contacted the company to confirm one detail.
R0335,2026-02-15,Returning customer,18–24,Elsewhere in Finland,Phone,Billing or payment,Billing & Payments,13,1.4,Yes,No,,4,4,8,8,219.16,No,I received a clear answer to my billing question.
R0336,2026-04-27,Returning customer,55–64,Local area,Chat,Delivery or order status,Orders & Delivery,19,3.2,Yes,No,,2,4,7,5,17.27,Yes,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0337,2026-03-25,New customer,65+,Local area,In person,Product or service information,Customer Information,6,1.2,Yes,Yes,,4,4,9,7,371.84,No,The older lady who helped me was incredibly patient and explained every step clearly.
R0338,2026-01-05,New customer,65+,Local area,Phone,Return or cancellation,Orders & Delivery,13,1.0,Yes,No,,2,5,6,7,34.65,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0339,2026-06-15,Returning customer,35–44,Other part of region,Phone,Technical support,Technical Support,50,7.1,No,No,,4,2,4,4,312.67,Yes,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0340,2026-05-07,Returning customer,35–44,Other part of region,In person,Purchase or booking,Customer Information,17,0.6,Yes,Yes,,4,5,8,8,97.83,No,The older woman who answered the phone was exceptionally kind and explained the booking process slowly.
R0341,2026-02-24,Business customer,55–64,Local area,Phone,Purchase or booking,Customer Information,100,3.1,No,Yes,,5,5,8,7,358.27,Yes,The woman who helped me took extra time to explain the options and I really appreciated it.
R0342,2026-01-11,Returning customer,65+,Local area,In person,Delivery or order status,Orders & Delivery,6,1.0,Yes,No,,2,5,7,5,115.68,No,I only contacted the company because I could not see when my order would arrive online.
R0343,2026-06-23,New customer,65+,Elsewhere in Finland,In person,Billing or payment,Billing & Payments,15,1.3,Yes,Yes,,4,5,9,7,146.1,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0344,2026-06-17,Returning customer,25–34,Local area,Phone,Billing or payment,Billing & Payments,14,2.3,Yes,No,,3,4,8,6,83.43,No,"I had to ask about an additional fee, but the explanation was reasonable."
R0345,2026-02-06,Business customer,45–54,Elsewhere in Finland,Web form,Delivery or order status,Orders & Delivery,28,0.9,Yes,Yes,,2,5,8,5,101.41,No,I needed help with a return and the employee explained the next step clearly.
R0346,2026-06-30,Business customer,35–44,Local area,Phone,Billing or payment,Billing & Payments,13,1.0,Yes,Yes,,5,4,10,9,581.51,No,The payment issue was solved during the first contact.
R0347,2026-06-07,New customer,18–24,Local area,Phone,Billing or payment,Billing & Payments,16,2.3,Yes,Yes,,4,5,10,7,227.07,No,The invoice question was answered clearly and I understood the charge.
R0348,2026-03-02,Returning customer,65+,Local area,Phone,Billing or payment,Billing & Payments,34,1.3,Yes,Yes,,5,5,9,8,326.43,No,
R0349,2026-03-21,New customer,35–44,Other part of region,In person,Purchase or booking,Orders & Delivery,17,5.2,No,Yes,,3,4,6,7,376.42,Yes,I needed help with a return and the employee explained the next step clearly.
R0350,2026-01-13,Business customer,45–54,Local area,Web form,Purchase or booking,Billing & Payments,32,2.6,Yes,Yes,,4,5,9,7,188.71,No,The invoice question was answered clearly and I understood the charge.
R0351,2026-04-06,New customer,25–34,Local area,In person,Purchase or booking,Customer Information,25,0.8,Yes,No,,4,4,8,10,175.09,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0352,2026-02-23,New customer,35–44,Local area,Chat,Purchase or booking,Orders & Delivery,24,15.4,No,Yes,,3,5,8,7,311.7,Yes,I needed help with a return and the employee explained the next step clearly.
R0353,2026-03-05,New customer,18–24,Local area,Chat,Delivery or order status,Orders & Delivery,15,5.0,No,No,,2,4,6,6,43.19,Yes,I only contacted the company because I could not see when my order would arrive online.
R0354,2026-04-05,New customer,25–34,Local area,Web form,Installation or setup,Technical Support,25,11.0,No,Yes,,3,4,6,4,285.29,Yes,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0355,2026-01-26,New customer,55–64,Local area,Email,Purchase or booking,Billing & Payments,7,3.6,Yes,Yes,3,3,5,10,8,352.37,No,I received a clear answer to my billing question.
R0356,2026-01-10,Returning customer,35–44,Local area,Chat,Technical support,Technical Support,12,1.4,Yes,Yes,,4,3,7,5,129.37,Yes,"The technical instructions were understandable, although the resolution took a while."
R0357,2026-06-20,New customer,55–64,Local area,In person,Delivery or order status,Orders & Delivery,8,1.4,Yes,No,,2,4,8,5,51.69,No,I only contacted the company because I could not see when my order would arrive online.
R0358,2026-06-10,Returning customer,45–54,Elsewhere in Finland,Chat,Billing or payment,Billing & Payments,20,0.5,Yes,Yes,,4,5,8,8,97.16,No,The payment issue was solved during the first contact.
R0359,2026-06-01,Returning customer,18–24,Local area,Phone,Installation or setup,Technical Support,13,32.1,No,Yes,,4,3,4,6,146.7,Yes,"I was told to check the instructions, but the instructions did not answer my question."
R0360,2026-06-07,Returning customer,25–34,Other part of region,Web form,Billing or payment,Billing & Payments,22,2.1,Yes,Yes,,5,4,8,7,90.28,No,"The payment process worked, but I would prefer a faster email reply."
